doc_id,category,title,content,tags,source,source_id,char_count,word_count,sentence_count,tag_count,content_clean
CUL_001,cultivar,TRI 2025 - Most Popular Sri Lankan Tea Cultivar,"TRI 2025 is the most widely cultivated tea variety in Sri Lanka, developed by the Tea Research Institute. This Cambod-type cultivar originated from the ASM 4/10 clone and was released for commercial planting due to its exceptional adaptability. TRI 2025 demonstrates remarkable versatility, thriving in low country, mid country, and up country elevations. The cultivar exhibits strong resistance to blister blight disease caused by Exobasidium vexans and shows tolerance to root-lesion nematode (Pratylenchus loosi). Additionally, TRI 2025 possesses drought tolerance, making it suitable for regions with irregular rainfall patterns. The tea produced from this cultivar has a well-balanced flavor profile suitable for both orthodox and CTC processing methods.","['TRI 2025', 'cultivar', 'disease resistant', 'drought tolerant', 'Cambod type']",,,759,108,6,5,tri 2025 is the most widely cultivated tea variety in sri lanka developed by the tea research institute. this cambod-type cultivar originated from the asm 4 10 clone and was released for commercial planting due to its exceptional adaptability. tri 2025 demonstrates remarkable versatility thriving in low country mid country and up country elevations. the cultivar exhibits strong resistance to blister blight disease caused by exobasidium vexans and shows tolerance to root-lesion nematode pratylenchus loosi . additionally tri 2025 possesses drought tolerance making it suitable for regions with irregular rainfall patterns. the tea produced from this cultivar has a well-balanced flavor profile suitable for both orthodox and ctc processing methods.
CUL_002,cultivar,TRI 2043 - Purple Tea Cultivar,"TRI 2043 is a unique cultivar known for its distinctive purple-pigmented leaves due to high anthocyanin content. This special characteristic makes it valuable for producing specialty teas including Golden Tips and Purple Tea. The anthocyanins provide additional antioxidant properties beyond regular green tea catechins. TRI 2043 is particularly suited for mid country and up country cultivation, especially in the Uva region where the unique climatic conditions enhance its special characteristics. The cultivar shows good resistance to blister blight and produces teas with exceptional aroma and flavor complexity. Purple tea from TRI 2043 commands premium prices in international markets due to its rarity and health benefits.","['TRI 2043', 'purple tea', 'anthocyanins', 'Golden Tips', 'specialty tea', 'antioxidants']",,,729,105,6,6,tri 2043 is a unique cultivar known for its distinctive purple-pigmented leaves due to high anthocyanin content. this special characteristic makes it valuable for producing specialty teas including golden tips and purple tea. the anthocyanins provide additional antioxidant properties beyond regular green tea catechins. tri 2043 is particularly suited for mid country and up country cultivation especially in the uva region where the unique climatic conditions enhance its special characteristics. the cultivar shows good resistance to blister blight and produces teas with exceptional aroma and flavor complexity. purple tea from tri 2043 commands premium prices in international markets due to its rarity and health benefits.
CUL_003,cultivar,TRI 2026 - High Yield Cultivar,"TRI 2026 is recognized for its high yield potential and good quality black tea production. This cultivar performs exceptionally well in low country and mid country regions of Sri Lanka. It produces leaves with good fermentation characteristics, resulting in teas with bright liquor and pleasant aroma. TRI 2026 has moderate resistance to blister blight and nematode attacks. The cultivar's vigorous growth habit and good recovery after pruning make it economically attractive for commercial plantations. It is particularly popular among smallholders due to its consistent yield performance.","['TRI 2026', 'high yield', 'black tea', 'low country', 'mid country']",,,590,86,6,5,tri 2026 is recognized for its high yield potential and good quality black tea production. this cultivar performs exceptionally well in low country and mid country regions of sri lanka. it produces leaves with good fermentation characteristics resulting in teas with bright liquor and pleasant aroma. tri 2026 has moderate resistance to blister blight and nematode attacks. the cultivar s vigorous growth habit and good recovery after pruning make it economically attractive for commercial plantations. it is particularly popular among smallholders due to its consistent yield performance.
CUL_004,cultivar,TRI 2023 - Quality Black Tea Producer,"TRI 2023 is valued for producing high-quality black tea with excellent cup characteristics. This cultivar is best suited for mid country and up country cultivation where cooler temperatures enhance tea quality. TRI 2023 produces medium yields but compensates with superior made tea quality. The cultivar has moderate resistance to blister blight but is susceptible to nematode damage in heavily infested soils. Teas from TRI 2023 are known for their bright infusion, good strength, and pleasant flavor, making them popular for single-origin premium teas.","['TRI 2023', 'quality tea', 'black tea', 'up country', 'mid country']",,,554,83,5,5,tri 2023 is valued for producing high-quality black tea with excellent cup characteristics. this cultivar is best suited for mid country and up country cultivation where cooler temperatures enhance tea quality. tri 2023 produces medium yields but compensates with superior made tea quality. the cultivar has moderate resistance to blister blight but is susceptible to nematode damage in heavily infested soils. teas from tri 2023 are known for their bright infusion good strength and pleasant flavor making them popular for single-origin premium teas.
CUL_005,cultivar,TRI 3013 - Aromatic Up Country Cultivar,"TRI 3013 belongs to the TRI 3000 series and is specifically developed for up country conditions. This cultivar is celebrated for producing teas with exceptional aroma and delicate flavor characteristics. TRI 3013 shows strong resistance to blister blight, which is particularly important in the misty, humid conditions of high elevations where this disease thrives. The cultivar produces smaller, finer leaves that are ideal for premium grade production. Teas from TRI 3013 are often used in specialty blends and single-estate offerings due to their distinctive aromatic qualities.","['TRI 3013', 'aromatic', 'up country', 'blister blight resistant', 'premium tea']",,,581,86,5,5,tri 3013 belongs to the tri 3000 series and is specifically developed for up country conditions. this cultivar is celebrated for producing teas with exceptional aroma and delicate flavor characteristics. tri 3013 shows strong resistance to blister blight which is particularly important in the misty humid conditions of high elevations where this disease thrives. the cultivar produces smaller finer leaves that are ideal for premium grade production. teas from tri 3013 are often used in specialty blends and single-estate offerings due to their distinctive aromatic qualities.
CUL_006,cultivar,TRI 3019 - Highly Disease Resistant Cultivar,"TRI 3019 stands out for its exceptional resistance to blister blight, rated as highly resistant compared to other cultivars. This makes it invaluable for cultivation in high-elevation areas where blister blight pressure is intense. The cultivar also demonstrates good yield potential and produces quality black tea. TRI 3019 is suitable for both up country and mid country regions and has become increasingly popular as plantations seek to reduce fungicide applications. The tea quality is characterized by good brightness and moderate strength.","['TRI 3019', 'blister blight resistant', 'high yield', 'up country', 'disease resistant']",,,545,81,5,5,tri 3019 stands out for its exceptional resistance to blister blight rated as highly resistant compared to other cultivars. this makes it invaluable for cultivation in high-elevation areas where blister blight pressure is intense. the cultivar also demonstrates good yield potential and produces quality black tea. tri 3019 is suitable for both up country and mid country regions and has become increasingly popular as plantations seek to reduce fungicide applications. the tea quality is characterized by good brightness and moderate strength.
CUL_007,cultivar,TRI 4006 - Premium Up Country Cultivar,"TRI 4006 represents the advanced TRI 4000 series and is known for excellent quality combined with high yield potential. This cultivar is highly resistant to both blister blight and nematode attacks, providing dual protection against major tea pests in Sri Lanka. TRI 4006 is recommended specifically for up country cultivation where it produces teas with superior cup quality. The leaves have good processing characteristics for orthodox manufacture. Estates using TRI 4006 report consistent quality and reduced crop protection costs.","['TRI 4006', 'premium quality', 'high yield', 'disease resistant', 'nematode tolerant']",,,534,79,5,5,tri 4006 represents the advanced tri 4000 series and is known for excellent quality combined with high yield potential. this cultivar is highly resistant to both blister blight and nematode attacks providing dual protection against major tea pests in sri lanka. tri 4006 is recommended specifically for up country cultivation where it produces teas with superior cup quality. the leaves have good processing characteristics for orthodox manufacture. estates using tri 4006 report consistent quality and reduced crop protection costs.
CUL_008,cultivar,TRI 4052 - Nematode Tolerant Cultivar,"TRI 4052 was specifically developed to address the significant nematode problem in Sri Lankan tea lands. The cultivar shows high tolerance to root-lesion nematode (Pratylenchus loosi), which causes substantial yield losses in susceptible varieties. TRI 4052 is recommended for low country and mid country regions where nematode populations tend to be high. The cultivar produces good yields and acceptable tea quality, making it a practical choice for replanting nematode-infested fields without requiring expensive soil treatment.","['TRI 4052', 'nematode tolerant', 'low country', 'mid country', 'replanting']",,,531,75,4,5,tri 4052 was specifically developed to address the significant nematode problem in sri lankan tea lands. the cultivar shows high tolerance to root-lesion nematode pratylenchus loosi which causes substantial yield losses in susceptible varieties. tri 4052 is recommended for low country and mid country regions where nematode populations tend to be high. the cultivar produces good yields and acceptable tea quality making it a practical choice for replanting nematode-infested fields without requiring expensive soil treatment.
CUL_009,cultivar,TRI 4053 - Multiple Pest Resistant Cultivar,"TRI 4053 offers multiple pest resistance characteristics, showing both blister blight resistance and high nematode tolerance. This combination makes it particularly valuable for integrated pest management approaches in tea cultivation. The cultivar is suited for low country and mid country regions and produces good quality tea with satisfactory yields. TRI 4053 is increasingly recommended for new plantings and replanting programs where reducing chemical inputs is a priority. The cultivar's broad resistance spectrum provides economic benefits through reduced crop protection costs.","['TRI 4053', 'pest resistant', 'blister blight', 'nematode tolerant', 'IPM']",,,586,80,5,5,tri 4053 offers multiple pest resistance characteristics showing both blister blight resistance and high nematode tolerance. this combination makes it particularly valuable for integrated pest management approaches in tea cultivation. the cultivar is suited for low country and mid country regions and produces good quality tea with satisfactory yields. tri 4053 is increasingly recommended for new plantings and replanting programs where reducing chemical inputs is a priority. the cultivar s broad resistance spectrum provides economic benefits through reduced crop protection costs.
CUL_010,cultivar,TRI 5001 - Latest Generation High Yielder,"TRI 5001 is part of the newest TRI 5000 series released in 2019, representing the latest advances in tea breeding. This cultivar offers 10-15% yield improvement over previous generations while maintaining high tea quality. TRI 5001 shows resistance to blister blight and notably to shot hole borer (Euwallacea fornicatus), a significant pest. The cultivar is recommended for up country regions and produces tea with bright liquor and good flavor. Early adopters report excellent field performance and quality premiums at auction.","['TRI 5001', 'TRI 5000 series', 'high yield', 'shot hole borer resistant', '2019 release']",,,529,80,5,5,tri 5001 is part of the newest tri 5000 series released in 2019 representing the latest advances in tea breeding. this cultivar offers 10-15 yield improvement over previous generations while maintaining high tea quality. tri 5001 shows resistance to blister blight and notably to shot hole borer euwallacea fornicatus a significant pest. the cultivar is recommended for up country regions and produces tea with bright liquor and good flavor. early adopters report excellent field performance and quality premiums at auction.
