term,count
tea,855
shall,363
ceylon,213
quality,173
sri,166
lanka,138
leaf,114
green,113
leaves,104
teas,94
processing,78
production,76
part,74
tri,69
tips,68
use,66
used,61
relevant,61
authority,60
factory,59
management,57
black,56
soil,56
product,55
board,53
plucking,51
produce,50
including,47
good,47
name,47
contamination,44
country,43
control,43
products,42
area,42
sls,42
farm,42
health,41
plant,41
application,41
standard,39
system,39
water,39
high,38
established,38
total,38
grades,38
ensure,38
conditions,37
produces,37
workers,37
must,36
operations,36
standards,35
per,35
1523,35
planting,34
grade,34
safety,34
dsls,34
maintained,33
golden,32
areas,32
protection,32
silver,31
storage,31
pesticides,31
chemical,30
made,29
also,29
recommended,29
food,29
appropriate,29
geographical,29
materials,29
stored,29
flavor,28
cultivation,28
may,28
requirements,28
containers,28
cultivar,27
regions,27
orthodox,27
premium,27
crop,27
lankan,27
type,27
sltb,27
iso,27
registered,27
records,27
facilities,26
manner,26
land,26
low,25
profile,25
estates,25
without,25
auction,25
withering,25
different,25
white,25
material,25
practices,25
handling,25
character,24
rolling,24
harvesting,24
measures,24
hygiene,24
research,23
characteristics,23
conservation,23
https,23
equipment,23
pest,22
method,22
first,22
prevent,22
traceability,22
environmental,22
environment,22
particularly,21
liquor,21
field,21
level,21
clean,21
factories,21
recommendations,21
pesticide,21
number,21
act,21
exporters,21
produced,20
ctc,20
content,20
natural,20
pekoe,20
size,20
available,20
adequate,20
export,20
site,20
figure,20
consulted,20
region,19
medium,19
history,19
value,19
color,19
process,19
small,19
oxidation,19
consumption,19
avoid,19
following,19
place,19
producing,18
strength,18
notes,18
coffee,18
body,18
origin,18
within,18
broken,18
dust,18
risk,18
kept,18
details,18
packaging,18
waste,18
suitable,17
yield,17
potential,17
important,17
market,17
dry,17
buds,17
approximately,17
specific,17
moisture,17
final,17
guidelines,17
producers,17
fertilizer,17
mass,17
carried,17
collection,17
location,17
plan,17
fertilizers,17
resistance,16
blight,16
pruning,16
best,16
world,16
one,16
fine,16
lion,16
shoots,16
include,16
bud,16
harvested,16
necessary,16
according,16
fraction,16
transport,16
followed,16
record,16
recorded,16
date,16
disposal,16
shows,15
catechins,15
damage,15
aromatic,15
safe,15
logo,15
orange,15
young,15
global,15
plants,15
minimize,15
agricultural,15
time,15
plantation,15
maintain,15
max,15
defined,15
done,15
gap,15
blister,14
nematode,14
cultivars,14
represents,14
new,14
elevation,14
reputation,14
biodiversity,14
blending,14
grown,14
development,14
consumers,14
grading,14
shade,14
sources,14
gardens,14
human,14
agriculture,14
training,14
registration,14
year,14
colour,14
manufacturing,14
hygienic,14
personal,14
institute,13
commercial,13
mid,13
provide,13
aroma,13
markets,13
benefits,13
reduce,13
fields,13
larger,13
associated,13
bop,13
bags,13
fannings,13
similar,13
drying,13
proper,13
points,13
organic,13
producer,13
industry,13
national,13
colombo,13
trade,13
access,13
worker,13
every,13
2022,13
packets,13
applicable,13
cleaned,13
possible,13
designated,13
developed,12
strong,12
special,12
uva,12
prices,12
international,12
well,12
consistent,12
cup,12
infusion,12
smaller,12
estate,12
compounds,12
period,12
wet,12
techniques,12
temperature,12
bopf,12
physical,12
levels,12
poor,12
harvest,12
chain,12
brokers,12
minimum,12
order,12
min,12
required,12
specificities,12
procedure,12
accordance,12
cleaning,12
warehouse,12
methods,11
bright,11
growth,11
plantations,11
series,11
delicate,11
often,11
brightness,11
significant,11
present,11
selection,11
climate,11
january,11
weather,11
growing,11
controlled,11
source,11
two,11
regional,11
based,11
egcg,11
direct,11
coarse,11
factors,11
hand,11
contact,11
june,11
exempted,11
2021,11
flavouring,11
taken,11
species,11
personnel,11
due,10
disease,10
rainfall,10
distinctive,10
excellent,10
manufacture,10
local,10
nuwara,10
eliya,10
called,10
located,10
feet,10
results,10
light,10
keeping,10
whole,10
sorting,10
finished,10
processed,10
desired,10
mechanical,10
machines,10
free,10
authorities,10
form,10
plucked,10
assessment,10
machine,10
circular,10
cultural,10
nutrient,10
trademark,10
social,10
sustainability,10
island,10
compliance,10
page,10
soon,10
maximum,10
information,10
ash,10
section,10
regulatory,10
handled,10
policy,10
nursery,10
work,10
tolerance,9
drought,9
making,9
known,9
commands,9
ideal,9
compared,9
increasingly,9
applications,9
address,9
acceptable,9
combination,9
integrated,9
meters,9
season,9
less,9
traditional,9
volume,9
category,9
copper,9
appearance,9
presence,9
mixed,9
fbop,9
structure,9
fresh,9
includes,9
systems,9
caffeine,9
action,9
weight,9
effects,9
polyphenols,9
preparation,9
tender,9
efficiency,9
maintenance,9
indication,9
energy,9
extension,9
chemicals,9
involved,9
therefore,9
weed,9
comply,9
elements,9
steps,9
packing,9
code,9
basis,9
packed,9
supplier,9
ministry,9
trained,9
managed,9
case,9
protective,9
appropriately,9
procedures,9
designed,9
actions,9
characteristic,8
specialty,8
regular,8
complexity,8
make,8
popular,8
among,8
superior,8
specifically,8
pests,8
using,8
economic,8
early,8
highest,8
bush,8
kandy,8
typically,8
complex,8
bitterness,8
properly,8
tip,8
indicates,8
particles,8
excessive,8
fbopf,8
theaflavins,8
monitored,8
change,8
air,8
100,8
daily,8
key,8
diseases,8
day,8
practice,8
productivity,8
mechanization,8
increase,8
follow,8
exporter,8
countries,8
promotion,8
fair,8
foreign,8
raw,8
score,8
batch,8
transportation,8
historical,8
committee,8
advisory,8
publications,8
residues,8
etc,8
2011,8
respective,8
given,8
pu4,8
requirement,8
operation,8
instant,8
kgs,8
fibre,8
specifications,8
legal,8
take,8
identified,8
derived,8
approved,8
quantity,8
blend,8
official,8
operators,8
tshda,8
working,8
protected,8
business,8
sites,8
hazards,8
implemented,8
machinery,8
exceptional,7
patterns,7
unique,7
antioxidant,7
properties,7
enhance,7
recognized,7
yields,7
reduced,7
replanting,7
programs,7
inputs,7
maintaining,7
monsoon,7
means,7
drinking,7
bold,7
despite,7
improved,7
higher,7
certification,7
regardless,7
preserve,7
integrity,7
op1,7
contain,7
throughout,7
requires,7
labor,7
quantities,7
common,7
hours,7
step,7
enzymes,7
twisted,7
shape,7
thearubigins,7
finally,7
uses,7
achieve,7
point,7
ensuring,7
essential,7
types,7
responsible,7
acid,7
function,7
stems,7
monitoring,7
however,7
bushes,7
signs,7
price,7
sustainable,7
establishment,7
criteria,7
london,7
manual,7
symbol,7
centre,7
map,7
issued,7
bulk,7
list,7
pu2,7
pu3,7
way,7
provided,7
test,7
2005,7
2013,7
condition,7
controls,7
preferably,7
transported,7
flavour,7
moscow,7
identification,7
identify,7
industries,7
regulations,7
farms,7
clearly,7
pollution,7
instructions,7
store,7
documented,7
weighing,7
2025,6
elevations,6
valuable,6
resulting,6
performance,6
temperatures,6
blends,6
qualities,6
resistant,6
characterized,6
combined,6
providing,6
major,6
report,6
lands,6
treatment,6
representing,6
hole,6
diversity,6
prized,6
eastern,6
finest,6
various,6
brewing,6
adjacent,6
astringency,6
brewed,6
recognition,6
three,6
main,6
contains,6
long,6
wiry,6
visible,6
flowery,6
refers,6
reserved,6
limited,6
largest,6
quickly,6
times,6
allows,6
considered,6
like,6
though,6
substrates,6
hot,6
activity,6
stalk,6
improve,6
cognitive,6
mechanisms,6
evidence,6
attention,6
pluckers,6
woody,6
interval,6
periods,6
table,6
seasons,6
employment,6
sector,6
impacts,6
auctions,6
sales,6
japan,6
competition,6
erosion,6
events,6
tasters,6
scale,6
acres,6
adapted,6
primary,6
british,6
knowledge,6
centers,6
processes,6
weeds,6
agronomic,6
biological,6
promote,6
usage,6
residue,6
mrls,6
rights,6
recording,6
guideline,6
crops,6
density,6
data,6
issue,6
ref,6
basic,6
wherever,6
516,6
specification,6
sensory,6
link,6
collectors,6
opa,6
fngs,6
forest,6
vehicles,6
aeration,6
package,6
public,6
mapi,6
put,6
sale,6
supply,6
propaganda,6
today,6
party,6
principles,6
companies,6
sheet,6
competent,6
activities,6
inspection,6
manda,6
minimizing,6
effective,6
calibrated,6
empty,6
vicinity,6
recycling,6
packages,6
additional,5
fermentation,5
moderate,5
economically,5
2023,5
valued,5
soils,5
losses,5
reducing,5
provides,5
2019,5
need,5
balanced,5
features,5
dimbula,5
creates,5
exposure,5
central,5
july,5
slightly,5
zone,5
contribute,5
composition,5
create,5
preparations,5
many,5
influence,5
amino,5
oxidized,5
careful,5
classification,5
matter,5
unopened,5
visual,5
selective,5
infusions,5
brisk,5
bop1,5
bag,5
exports,5
particle,5
manufacturers,5
least,5
shorter,5
aspects,5
taste,5
follows,5
cut,5
varies,5
surface,5
involves,5
determines,5
determined,5
steaming,5
metabolic,5
capacity,5
beneficial,5
original,5
found,5
promoting,5
studies,5
support,5
limit,5
minimizes,5
changing,5
select,5
strict,5
intensity,5
mature,5
reject,5
supervision,5
days,5
depending,5
dormant,5
organisms,5
holes,5
heavy,5
risks,5
irrigation,5
million,5
private,5
china,5
consumer,5
welfare,5
trees,5
impact,5
opened,5
approach,5
planter,5
taylor,5
existing,5
adopted,5
century,5
conduct,5
employee,5
news,5
annual,5
limits,5
growers,5
labour,5
since,5
practiced,5
rain,5
end,5
mqs,5
aiming,5
specified,5
addition,5
description,5
animal,5
domestic,5
flaky,5
gun,5
powder,5
chun,5
mee,5
gives,5
either,5
commissioner,5
sacks,5
floor,5
panning,5
amount,5
packaged,5
became,5
ordinance,5
campaign,5
brand,5
conducted,5
ownership,5
manufacturer,5
regarding,5
supplied,5
garden,5
invoice,5
bodies,5
614,5
clothing,5
farming,5
disposed,5
layout,5
laws,5
fire,5
operator,5
rates,5
streams,5
regularly,5
prevents,5
aware,5
spray,5
accidents,5
contaminations,5
center,5
captured,5
cultivated,4
released,4
2043,4
makes,4
suited,4
especially,4
climatic,4
attractive,4
smallholders,4
susceptible,4
heavily,4
infested,4
highly,4
pressure,4
become,4
seek,4
4006,4
causes,4
varieties,4
