Method,Metric,Value
DENSE,mrr,1.0
DENSE,precision@1,1.0
DENSE,recall@1,0.64
DENSE,ndcg@1,1.0
DENSE,hit_rate@1,1.0
DENSE,precision@3,0.6
DENSE,recall@3,0.9199999999999999
DENSE,ndcg@3,1.0
DENSE,hit_rate@3,1.0
DENSE,precision@5,0.44000000000000006
DENSE,recall@5,1.0
DENSE,ndcg@5,1.0
DENSE,hit_rate@5,1.0
BM25,mrr,1.0
BM25,precision@1,1.0
BM25,recall@1,0.64
BM25,ndcg@1,1.0
BM25,hit_rate@1,1.0
BM25,precision@3,0.6
BM25,recall@3,0.9199999999999999
BM25,ndcg@3,0.9839441578296375
BM25,hit_rate@3,1.0
BM25,precision@5,0.44000000000000006
BM25,recall@5,1.0
BM25,ndcg@5,0.9839441578296375
BM25,hit_rate@5,1.0
HYBRID,mrr,1.0
HYBRID,precision@1,1.0
HYBRID,recall@1,0.64
HYBRID,ndcg@1,1.0
HYBRID,hit_rate@1,1.0
HYBRID,precision@3,0.6
HYBRID,recall@3,0.9199999999999999
HYBRID,ndcg@3,1.0
HYBRID,hit_rate@3,1.0
HYBRID,precision@5,0.44000000000000006
HYBRID,recall@5,1.0
HYBRID,ndcg@5,1.0
HYBRID,hit_rate@5,1.0
