id,title,publisher,year,type,url,categories,summary,license_notes,stability
SLTEA-001,View All Publications,Tea Research Institute of Sri Lanka (TRI),n.d.,HTML (portal),https://www.tri.lk/view-all-publications/,cultivar;region;processing;plucking standards;disease/pests;quality;sustainability;history,"Portal indexing many TRI publications (advisory circulars, guidelines, reports). Best entry-point for a Sri Lanka–specific tea corpus.",Assume copyright unless an explicit license is stated on the site or inside each PDF. Check PDF front matter + site terms.,High (official TRI domain)
SLTEA-002,Guidelines on Plucking (TRI Advisory Circular HP 04/03),Tea Research Institute of Sri Lanka (TRI),2003,PDF,https://www.tri.lk/wp-content/uploads/2020/02/TRI_HP04e.pdf,plucking standards;quality,"Official plucking guidance (shoot standards, plucking rounds, quality impacts).",Likely copyrighted; verify in-PDF and TRI site terms.,High
SLTEA-003,Suitability of Tea Clones for Different Regions (TRI Advisory Circular PN 01),Tea Research Institute of Sri Lanka (TRI),2002,PDF,https://www.tri.lk/wp-content/uploads/2020/02/TRI_Advisory_Ciculars_PN_01.pdf,cultivar;region;quality,Clone/region suitability guidance (useful for cultivar-by-region knowledge).,Likely copyrighted; verify in-PDF and TRI site terms.,High
SLTEA-004,Chemical Control of Diseases (TRI Advisory Circular PU 03/11),Tea Research Institute of Sri Lanka (TRI),2011,PDF,https://dl-tri.nsf.gov.lk/bitstreams/29648ead-4d7c-4ff0-a10a-87c85b8f8186/download,disease/pests;quality;sustainability,"TRI’s official chemical disease control guidance for tea (active ingredients, practices, constraints).",Likely copyrighted; verify in-PDF and repository terms.,High (official repository)
SLTEA-005,Pesticide Use (TRI circular / guidance; repository PDF),Tea Research Institute of Sri Lanka (TRI),n.d. (TRI repository posting indicates ~2014),PDF,https://dl-tri.nsf.gov.lk/bitstreams/1b123afb-c7e7-4359-b922-f4788e91698a/download,disease/pests;quality;trade;sustainability,TRI guidance on pesticide usage with residue-compliance context (MRLs).,Assume copyrighted unless stated; check PDF + repository terms.,High
SLTEA-006,Guidelines for Establishment of Tea to Facilitate Mechanization (TRISL Guideline 03/2019),Tea Research Institute of Sri Lanka (TRI),2019,PDF,https://www.tri.lk/wp-content/uploads/2020/02/TRISL_Guideline_03_2019e_Dec2019.pdf,production;sustainability;economics;quality,"Field/estate establishment guidance enabling mechanized operations (layout, planting, management).",Likely copyrighted; verify in-PDF and TRI site terms.,High
SLTEA-007,Factors in Tea Manufacture (TRI technical monograph; repository PDF),Tea Research Institute of Sri Lanka (TRI),n.d.,PDF,https://dl-tri.nsf.gov.lk/bitstreams/5d3db5c2-6688-44bc-a024-30d036cd864d/download,processing;quality,Technical content on tea manufacture factors and their impacts on quality.,Assume copyrighted unless stated; check PDF + repository terms.,High
SLTEA-008,Tea Statistics,Sri Lanka Tea Board (SLTB),n.d.,HTML (dashboard),https://srilankateaboard.lk/tea-statistics/,economics;trade;region;grades/sales,Official Sri Lanka Tea Board statistics portal (production/sales/export/price series).,"Check SLTB site terms for reuse; for RAG citations, store snapshots/PDF exports where possible.",High
SLTEA-009,Monthly Tea Statistics – June 2022 (example in SLTB monthly series),Sri Lanka Tea Board (SLTB),2022,PDF,https://srilankateaboard.lk/wp-content/uploads/2022/12/Monthly-Tea-Statistics-%E2%80%93-June-2022.pdf,economics;trade;region;grades/sales,Structured monthly statistical tables (repeatable format; good for grounding numeric answers).,Likely copyrighted; check PDF + SLTB terms.,High
SLTEA-010,Revised Tea Production 2024 (Monthly),Sri Lanka Tea Board (SLTB),2024,PDF,https://srilankateaboard.lk/wp-content/uploads/2025/04/Revised-Tea-Production-2024-Monthly.pdf,economics;region;processing,Monthly production breakdowns for 2024; useful for trend and verification questions.,Likely copyrighted; check PDF + SLTB terms.,High
