FieldKey,status,pkl,meta
Attabage_1,saved,sarimax_models_fields\Attabage_1_sarimax.pkl,sarimax_models_fields\Attabage_1_meta.json
Attabage_10,saved,sarimax_models_fields\Attabage_10_sarimax.pkl,sarimax_models_fields\Attabage_10_meta.json
Attabage_11,saved,sarimax_models_fields\Attabage_11_sarimax.pkl,sarimax_models_fields\Attabage_11_meta.json
Attabage_12,saved,sarimax_models_fields\Attabage_12_sarimax.pkl,sarimax_models_fields\Attabage_12_meta.json
Attabage_13,saved,sarimax_models_fields\Attabage_13_sarimax.pkl,sarimax_models_fields\Attabage_13_meta.json
Attabage_14,saved,sarimax_models_fields\Attabage_14_sarimax.pkl,sarimax_models_fields\Attabage_14_meta.json
Attabage_16,saved,sarimax_models_fields\Attabage_16_sarimax.pkl,sarimax_models_fields\Attabage_16_meta.json
Attabage_17,saved,sarimax_models_fields\Attabage_17_sarimax.pkl,sarimax_models_fields\Attabage_17_meta.json
Attabage_18,saved,sarimax_models_fields\Attabage_18_sarimax.pkl,sarimax_models_fields\Attabage_18_meta.json
Attabage_2,saved,sarimax_models_fields\Attabage_2_sarimax.pkl,sarimax_models_fields\Attabage_2_meta.json
Attabage_3,saved,sarimax_models_fields\Attabage_3_sarimax.pkl,sarimax_models_fields\Attabage_3_meta.json
Attabage_4,saved,sarimax_models_fields\Attabage_4_sarimax.pkl,sarimax_models_fields\Attabage_4_meta.json
Attabage_5,saved,sarimax_models_fields\Attabage_5_sarimax.pkl,sarimax_models_fields\Attabage_5_meta.json
Attabage_6,saved,sarimax_models_fields\Attabage_6_sarimax.pkl,sarimax_models_fields\Attabage_6_meta.json
Attabage_7,saved,sarimax_models_fields\Attabage_7_sarimax.pkl,sarimax_models_fields\Attabage_7_meta.json
Lower_1,saved,sarimax_models_fields\Lower_1_sarimax.pkl,sarimax_models_fields\Lower_1_meta.json
Lower_10,saved,sarimax_models_fields\Lower_10_sarimax.pkl,sarimax_models_fields\Lower_10_meta.json
Lower_11,saved,sarimax_models_fields\Lower_11_sarimax.pkl,sarimax_models_fields\Lower_11_meta.json
Lower_12,saved,sarimax_models_fields\Lower_12_sarimax.pkl,sarimax_models_fields\Lower_12_meta.json
Lower_13,saved,sarimax_models_fields\Lower_13_sarimax.pkl,sarimax_models_fields\Lower_13_meta.json
Lower_14,saved,sarimax_models_fields\Lower_14_sarimax.pkl,sarimax_models_fields\Lower_14_meta.json
Lower_15,saved,sarimax_models_fields\Lower_15_sarimax.pkl,sarimax_models_fields\Lower_15_meta.json
Lower_16,saved,sarimax_models_fields\Lower_16_sarimax.pkl,sarimax_models_fields\Lower_16_meta.json
Lower_18,saved,sarimax_models_fields\Lower_18_sarimax.pkl,sarimax_models_fields\Lower_18_meta.json
Lower_19,saved,sarimax_models_fields\Lower_19_sarimax.pkl,sarimax_models_fields\Lower_19_meta.json
Lower_2,saved,sarimax_models_fields\Lower_2_sarimax.pkl,sarimax_models_fields\Lower_2_meta.json
Lower_21,saved,sarimax_models_fields\Lower_21_sarimax.pkl,sarimax_models_fields\Lower_21_meta.json
Lower_23,saved,sarimax_models_fields\Lower_23_sarimax.pkl,sarimax_models_fields\Lower_23_meta.json
Lower_3,saved,sarimax_models_fields\Lower_3_sarimax.pkl,sarimax_models_fields\Lower_3_meta.json
Lower_4,saved,sarimax_models_fields\Lower_4_sarimax.pkl,sarimax_models_fields\Lower_4_meta.json
Lower_5,saved,sarimax_models_fields\Lower_5_sarimax.pkl,sarimax_models_fields\Lower_5_meta.json
Lower_6,saved,sarimax_models_fields\Lower_6_sarimax.pkl,sarimax_models_fields\Lower_6_meta.json
Lower_7,saved,sarimax_models_fields\Lower_7_sarimax.pkl,sarimax_models_fields\Lower_7_meta.json
Lower_8,saved,sarimax_models_fields\Lower_8_sarimax.pkl,sarimax_models_fields\Lower_8_meta.json
Lower_9,saved,sarimax_models_fields\Lower_9_sarimax.pkl,sarimax_models_fields\Lower_9_meta.json
Upper_1,saved,sarimax_models_fields\Upper_1_sarimax.pkl,sarimax_models_fields\Upper_1_meta.json
Upper_11,saved,sarimax_models_fields\Upper_11_sarimax.pkl,sarimax_models_fields\Upper_11_meta.json
Upper_12,saved,sarimax_models_fields\Upper_12_sarimax.pkl,sarimax_models_fields\Upper_12_meta.json
Upper_3,saved,sarimax_models_fields\Upper_3_sarimax.pkl,sarimax_models_fields\Upper_3_meta.json
Upper_4,saved,sarimax_models_fields\Upper_4_sarimax.pkl,sarimax_models_fields\Upper_4_meta.json
Upper_5,saved,sarimax_models_fields\Upper_5_sarimax.pkl,sarimax_models_fields\Upper_5_meta.json
Upper_6,saved,sarimax_models_fields\Upper_6_sarimax.pkl,sarimax_models_fields\Upper_6_meta.json
Upper_7,saved,sarimax_models_fields\Upper_7_sarimax.pkl,sarimax_models_fields\Upper_7_meta.json
Upper_8,saved,sarimax_models_fields\Upper_8_sarimax.pkl,sarimax_models_fields\Upper_8_meta.json
Galaha_1 A,saved,sarimax_models_fields\Galaha_1_A_sarimax.pkl,sarimax_models_fields\Galaha_1_A_meta.json
Galaha_1 B,saved,sarimax_models_fields\Galaha_1_B_sarimax.pkl,sarimax_models_fields\Galaha_1_B_meta.json
Galaha_12,saved,sarimax_models_fields\Galaha_12_sarimax.pkl,sarimax_models_fields\Galaha_12_meta.json
Galaha_16,saved,sarimax_models_fields\Galaha_16_sarimax.pkl,sarimax_models_fields\Galaha_16_meta.json
Galaha_2,saved,sarimax_models_fields\Galaha_2_sarimax.pkl,sarimax_models_fields\Galaha_2_meta.json
Galaha_2 A,saved,sarimax_models_fields\Galaha_2_A_sarimax.pkl,sarimax_models_fields\Galaha_2_A_meta.json
Galaha_2 B,saved,sarimax_models_fields\Galaha_2_B_sarimax.pkl,sarimax_models_fields\Galaha_2_B_meta.json
Galaha_3,saved,sarimax_models_fields\Galaha_3_sarimax.pkl,sarimax_models_fields\Galaha_3_meta.json
Hantane Top_2 A,saved,sarimax_models_fields\Hantane_Top_2_A_sarimax.pkl,sarimax_models_fields\Hantane_Top_2_A_meta.json
Hantane Top_3,saved,sarimax_models_fields\Hantane_Top_3_sarimax.pkl,sarimax_models_fields\Hantane_Top_3_meta.json
Hantane Top_5 A,saved,sarimax_models_fields\Hantane_Top_5_A_sarimax.pkl,sarimax_models_fields\Hantane_Top_5_A_meta.json
Hantane Top_6 A,saved,sarimax_models_fields\Hantane_Top_6_A_sarimax.pkl,sarimax_models_fields\Hantane_Top_6_A_meta.json
Hantane Top_9,saved,sarimax_models_fields\Hantane_Top_9_sarimax.pkl,sarimax_models_fields\Hantane_Top_9_meta.json
Hantane Top_NC 1,saved,sarimax_models_fields\Hantane_Top_NC_1_sarimax.pkl,sarimax_models_fields\Hantane_Top_NC_1_meta.json
Hantane Top_NC 2,saved,sarimax_models_fields\Hantane_Top_NC_2_sarimax.pkl,sarimax_models_fields\Hantane_Top_NC_2_meta.json
